louse --synonyms-- cad; cootie; knave;
strictly --synonyms-- closely; rigorously; stringently;
rape --synonyms-- abduction; depredation; despoilment;
sunset --synonyms-- dusk; nightfall; sundown;
failure --synonyms-- bankruptcy; breakdown; collapse;
sometime --synonyms-- late; once; periodically;
library --synonyms-- athenaeum; atheneum; bibliotheca;
patrol --synonyms-- garrison; vigilance; defending;
swim --synonyms-- bathe; crawl; dive;
shrink --synonyms-- decrease; diminish; drop off;
bail --synonyms-- bond; warrant; collateral;
sing --synonyms-- belt out; chant; croon;
loneliness --synonyms-- alienation; desolation; heartache;
indicate --synonyms-- announce; argue; demonstrate;
start --synonyms-- beginning; dawn; kickoff;
saw --synonyms-- saying; adage; aphorism;
above --synonyms-- raised; high; over;
irrational --synonyms-- aberrant; absurd; crazy;
vapour --synonyms-- NO SYNONYMS;
stereotype --synonyms-- pattern; average; boilerplate;
dysfunctional --synonyms-- flawed; broken; debilitated;
villa --synonyms-- chateau; manor; mansion;
craving --synonyms-- appetite; hankering; hunger;
chauffeur --synonyms-- cabdriver; licensed operator; autoist;
immobile --synonyms-- immovable; stagnant; static;
inflammable --synonyms-- burnable; combustible; dangerous;
niche --synonyms-- alcove; slot; calling;
ante --synonyms-- pay; pot; price;
axis --synonyms-- arbor; axle; hinge;
folding --synonyms-- anthesis; developing; flowering;
yeast --synonyms-- fungus; ferment; leavening;
acrid --synonyms-- pungent; stinging; acid;
giraffe --synonyms-- buffalo; camel; cattle;
spanish --synonyms-- Catalan; Continental; French;
publisher --synonyms-- administrator; architect; author;
throughout --synonyms-- all over; all the time; all through;
internet --synonyms-- cyberspace; WWW; ARPANET;
facet --synonyms-- angle; appearance; character;
spicy --synonyms-- appetizing; aromatic; distinctive;
somehow --synonyms-- anyway; after a fashion; anyhow;
daily --synonyms-- constantly; day-to-day; everyday;
agreement --synonyms-- accord; arrangement; compliance;
officially --synonyms-- correctly; formally; properly;
awesome --synonyms-- amazing; astonishing; astounding;
lord --synonyms-- aristocrat; baron; bishop;
sensible --synonyms-- astute; down-to-earth; intelligent;
grade --synonyms-- category; class; classification;
funeral --synonyms-- burial; cremation; entombment;
behind --synonyms-- trailing; abaft; after;
concern --synonyms-- care; concernment; consideration;
subtract --synonyms-- deduct; withhold; decrease;
discard --synonyms-- abandon; cancel; dispense with;
arrest --synonyms-- capture; detention; imprisonment;
direct --synonyms-- blunt; candid; explicit;
flick --synonyms-- flip; snap; tap;
bullying --synonyms-- imperious; blustering; hectoring;
chivalrous --synonyms-- benevolent; big; bold;
hound --synonyms-- beagle; afghan; airedale;
cupboard --synonyms-- closet; locker; sideboard;
right --synonyms-- appropriate; good; honest;
sneeze --synonyms-- sternutation; gesundheit; carry off;
molecular --synonyms-- atomic; infinitesimal; little;
madman --synonyms-- maniac; bedlamite; cuckoo;
carbohydrate --synonyms-- cellulose; glucose; lactose;
dissimilar --synonyms-- antithetical; contradictory; disparate;
fern --synonyms-- scrub; thicket; bracken;
quarrelsome --synonyms-- belligerent; cantankerous; combative;
beehive --synonyms-- hive; beehive; hive;
perspiration --synonyms-- diaphoresis; excreta; exudation;
equanimity --synonyms-- aplomb; calmness; composure;
dictation --synonyms-- transcription; copy; correspondence;
blaspheme --synonyms-- cuss; revile; swear;
dagger --synonyms-- bayonet; blade; sword;
sunglasses --synonyms-- specs; bifocals; cheaters;
misguided --synonyms-- confused; erroneous; foolish;
myth --synonyms-- fable; fantasy; fiction;
gossip --synonyms-- buzz; chatter; chitchat;
centigrade --synonyms-- NO SYNONYMS;
disturbing --synonyms-- alarming; annoying; bothersome;
comprehensive --synonyms-- all-inclusive; broad; complete;
active --synonyms-- alive; effective; operating;
garrison --synonyms-- command post; encampment; fortress;
determination --synonyms-- assurance; boldness; bravery;
harassment --synonyms-- molestation; persecution; provocation;
uncomfortable --synonyms-- annoying; awkward; bitter;
