louse --synonyms-- cad; cootie; knave;
disembody --synonyms-- NO SYNONYMS;
socket --synonyms-- crater; armpit; atrium;
fund --synonyms-- capital; endowment; foundation;
function --synonyms-- action; activity; affair;
fed --synonyms-- glutted; gorged; jaded;
roast --synonyms-- lambaste; lampoon; razz;
marvellous --synonyms-- alien; ethereal; extraterrestrial;
account --synonyms-- detail; explanation; history;
exchange --synonyms-- change; commerce; network;
not --synonyms-- no more; not at all; not either;
attack --synonyms-- aggression; barrage; charge;
soon --synonyms-- directly; early; instantly;
often --synonyms-- generally; much; regularly;
deaf --synonyms-- earless; hard of hearing; stone-deaf;
sight --synonyms-- appearance; eye; perception;
talk --synonyms-- lecture; allocution; declamation;
bit --synonyms-- dose; fragment; item;
tusk --synonyms-- ivory; canine; fang;
onward --synonyms-- onwards; forth; forward;
anew --synonyms-- afresh; once again; once more;
throne --synonyms-- authority; cathedra; chair;
avalanche --synonyms-- barrage; deluge; flood;
abject --synonyms-- wretched; base; contemptible;
leverage --synonyms-- advantage; bargaining chip; clout;
clove --synonyms-- cleavage; crater; crevasse;
kernel --synonyms-- fruit; grain; meat;
existing --synonyms-- actual; current; extant;
swarthy --synonyms-- black; brown; brunet;
infringement --synonyms-- infraction; invasion; transgression;
sauna --synonyms-- bathroom; lavatory; restroom;
savvy --synonyms-- acute; calculating; cunning;
enlighten --synonyms-- acquaint; advise; civilize;
bunny --synonyms-- hare; rodent; buck;
humble --synonyms-- courteous; gentle; modest;
nought --synonyms-- naught; nihil; nix;
freaky --synonyms-- bizarre; grotesque; odd;
jungle --synonyms-- forest; wasteland; wood;
baggage --synonyms-- equipment; gear; luggage;
install --synonyms-- build in; fix; inaugurate;
disembroil --synonyms-- detach; disengage; emancipate;
both --synonyms-- one and the other; the couple; the pair;
finally --synonyms-- certainly; completely; decisively;
surely --synonyms-- absolutely; assuredly; certainly;
liquid --synonyms-- damp; melted; running;
charge --synonyms-- allegation; complaint; indictment;
sleigh --synonyms-- bobsled; dogsled; luge;
condensed --synonyms-- concise; brief; short;
rugby --synonyms-- soccer; American football; Association football;
apt --synonyms-- appropriate; apropos; correct;
dinosaur --synonyms-- antiquated; archaic; outmoded;
clasp --synonyms-- brooch; buckle; catch;
coax --synonyms-- cajole; entice; induce;
regent --synonyms-- ruler; governor; minister;
heroin --synonyms-- dope; drug; narcotic;
ditto --synonyms-- clone; copy; double;
endangered --synonyms-- threatened; at risk; facing extinction;
increasingly --synonyms-- more; more and more; progressively;
permissive --synonyms-- indulgent; lax; open-minded;
shrivel --synonyms-- dwindle; shrink; wilt;
germinate --synonyms-- sprout; bud; develop;
swat --synonyms-- clobber; knock; slap;
flamboyant --synonyms-- bombastic; brilliant; colorful;
arcade --synonyms-- gallery; mall; walkway;
vessel --synonyms-- barge; boat; craft;
pedal --synonyms-- crowbar; tool; bar;
generalization --synonyms-- abstraction; half-truth; law;
constantly --synonyms-- continually; invariably; regularly;
dish-water --synonyms-- bouillon; chowder; porridge;
backpack --synonyms-- knapsack; haversack; pack;
touching --synonyms-- heartbreaking; pathetic; poignant;
disrupt --synonyms-- disturb; rattle; agitate;
tights --synonyms-- hosiery; pantyhose; hose;
vat --synonyms-- barrel; basin; cask;
bruise --synonyms-- black eye; blemish; contusion;
floating --synonyms-- soaring; free; hollow;
solicitor --synonyms-- barrister; counselor; lawyer;
knit --synonyms-- bind; crochet; fasten;
garlic --synonyms-- NO SYNONYMS;
household --synonyms-- everyday; ordinary; family;
saint --synonyms-- angel; martyr; glorified soul;
moral --synonyms-- ethical; good; honest;
national --synonyms-- civil; communal; domestic;
reveal --synonyms-- acknowledge; admit; affirm;
ward --synonyms-- department; parish; precinct;
because --synonyms-- as; as a result of; as long as;
smart --synonyms-- agile; astute; bold;
lifetime --synonyms-- career; life; period;
wooden --synonyms-- board; clapboard; frame;
magnet --synonyms-- allurement; ambush; appeal;
distance --synonyms-- area; gap; length;
page --synonyms-- folio; leaf; recto;
melody --synonyms-- chant; lyric; music;
world --synonyms-- earth; nature; cosmos;
segment --synonyms-- division; piece; portion;
middle --synonyms-- intermediate; average; center;
section --synonyms-- area; branch; category;
indication --synonyms-- explanation; expression; gesture;
heron --synonyms-- NO SYNONYMS;
die --synonyms-- drown; expire; perish;
moonlight --synonyms-- effulgence; luminescence; radiance;
aspect --synonyms-- attitude; condition; facet;
dangle --synonyms-- droop; flap; hang;
marten --synonyms-- NO SYNONYMS;
brisk --synonyms-- energetic; lively; quick;
reunited --synonyms-- accumulated; collected; concentrated;
nutshell --synonyms-- rehash; rundown; summation;
rancorous --synonyms-- acrimonious; bitter; resentful;
fleeting --synonyms-- cursory; ephemeral; fading;
outbreak --synonyms-- crash; disruption; epidemic;
villain --synonyms-- antihero; bad guy; baddie;
tactical --synonyms-- diplomatic; calculated; clever;
unity --synonyms-- agreement; consensus; harmony;
seminar --synonyms-- convention; discussion; forum;
fore --synonyms-- ante; forward; ahead;
invisible --synonyms-- imperceptible; microscopic; unseen;
smear --synonyms-- besmirch; blur; coat;
dormant --synonyms-- asleep; comatose; inert;
deputy --synonyms-- aide; appointee; commissioner;
swap --synonyms-- substitute; switch; trade;
bathe --synonyms-- clean; dip; douse;
specify --synonyms-- cite; define; determine;
effort --synonyms-- achievement; attempt; battle;
objection --synonyms-- challenge; criticism; difficulty;
apartment --synonyms-- accommodation; cave; condo;
lamb --synonyms-- fish; butt; chump;
writing --synonyms-- calligraphy; handwriting; print;
bullet --synonyms-- ammunition; ball; cartridge;
achieve --synonyms-- accomplish; attain; bring about;
struggle --synonyms-- attempt; battle; clash;
variation --synonyms-- abnormality; alteration; change;
column --synonyms-- file; list; cavalcade;
least --synonyms-- bottom; first; gutter;
engineering --synonyms-- construction; manufacturing; arranging;
top --synonyms-- dominant; elite; excellent;
journalism --synonyms-- news; reporting; writing;
countryside --synonyms-- environment; land; landscape;
hourglass --synonyms-- clock; metronome; timepiece;
deficiency --synonyms-- dearth; defect; failing;
retreat --synonyms-- evacuation; flight; withdrawal;
humility --synonyms-- shyness; abasement; bashfulness;
boredom --synonyms-- apathy; disgust; ennui;
highjack --synonyms-- annex; preempt; supplant;
latent --synonyms-- inherent; lurking; smoldering;
sodium --synonyms-- NO SYNONYMS;
topple --synonyms-- collapse; oust; overturn;
concur --synonyms-- acquiesce; coincide; jibe;
outbalance --synonyms-- cancel out; counterbalance; eclipse;
actress --synonyms-- diva; leading lady; starlet;
apiece --synonyms-- aside; individually; respectively;
reel --synonyms-- falter; lurch; shake;
prefecture --synonyms-- NO SYNONYMS;
mosquito --synonyms-- ant; aphid; bee;
comic --synonyms-- clown; comedian; humorist;
trolley --synonyms-- grip car; streetcar; tram;
crab --synonyms-- bellyacher; complainer; curmudgeon;
external --synonyms-- extraneous; foreign; alien;
oath --synonyms-- affidavit; deposition; pledge;
costs --synonyms-- damages; outlay; overhead;
framework --synonyms-- groundwork; plan; scheme;
proverb --synonyms-- adage; aphorism; axiom;
buff --synonyms-- blonde; canary; ecru;
earlap --synonyms-- NO SYNONYMS;
previous --synonyms-- earlier; past; preceding;
survey --synonyms-- analysis; audit; check;
apart --synonyms-- aside; afar; alone;
uncertain --synonyms-- ambiguous; ambivalent; dubious;
incurable --synonyms-- deadly; fatal; hopeless;
negative --synonyms-- adverse; gloomy; pessimistic;
unable --synonyms-- helpless; impotent; inadequate;
defense --synonyms-- aegis; armor; arms;
appear --synonyms-- arrive; come; come out;
age --synonyms-- life; maturity; old age;
day --synonyms-- daylight; daytime; light;
incarnate --synonyms-- embodied; manifested; materialized;
intolerable --synonyms-- extreme; impossible; painful;
equipped --synonyms-- armed; clothed; dressed;
misty --synonyms-- cloudy; foggy; fuzzy;
haunted --synonyms-- obsessed; preyed upon; visited by;
play --synonyms-- comedy; drama; hit;
wilful --synonyms-- NO SYNONYMS;
franchise --synonyms-- authorization; ballot; charter;
agony --synonyms-- anguish; misery; passion;
cipher --synonyms-- nonentity; blank; nada;
rut --synonyms-- furrow; gouge; hollow;
acerbity --synonyms-- acidity; asperity; astringency;
ghetto --synonyms-- barrio; favela; slum;
withhold --synonyms-- conceal; deduct; deny;
glide --synonyms-- descend; drift; flit;
retro --synonyms-- period; dated; evocative;
drunkard --synonyms-- alcoholic; bacchanal; boozer;
dunk --synonyms-- douse; soak; duck;
heartburn --synonyms-- indigestion; backflow; pyrosis;
truant --synonyms-- AWOL; hooky; no-show;
primeval --synonyms-- prehistoric; primal; primitive;
luscious --synonyms-- appetizing; distinctive; exquisite;
flashlight --synonyms-- light; beacon; gaslight;
bedridden --synonyms-- ill; incapacitated; infirm;
sporting --synonyms-- antic; fair; game;
rustle --synonyms-- crackle; crepitation; crinkling;
dung --synonyms-- droppings; feces; manure;
vault --synonyms-- basement; box; cellar;
consultation --synonyms-- appointment; conference; deliberation;
anniversary --synonyms-- ceremony; commemoration; festival;
fusion --synonyms-- amalgam; blend; blending;
tears --synonyms-- hole; crack; gash;
intermediate --synonyms-- transitional; average; center;
income tax --synonyms-- NO SYNONYMS;
announcement --synonyms-- advertisement; briefing; broadcast;
boundary --synonyms-- barrier; border; borderline;
grandson --synonyms-- NO SYNONYMS;
edacity --synonyms-- hunger; voracity; esurience;
intersection --synonyms-- crossing; interchange; junction;
worn --synonyms-- frayed; shabby; tattered;
shrimp --synonyms-- insignificant; negligible; trivial;
selective --synonyms-- careful; choosy; discriminatory;
backwards --synonyms-- back; backward; rearward;
rapidly --synonyms-- briskly; expeditiously; fast;
transfer --synonyms-- deportation; relocation; removal;
accompany --synonyms-- attend; escort; follow;
forcing --synonyms-- biting; piercing; trenchant;
stunt --synonyms-- antic; feat; sketch;
bite-size --synonyms-- NO SYNONYMS;
surgery --synonyms-- abscission; enucleation; incision;
insist --synonyms-- assert; contend; demand;
none --synonyms-- nobody; no one; nothing;
parking --synonyms-- embracing; caressing; necking;
today --synonyms-- new; present-day; current;
either --synonyms-- each of two; either/or; one;
ratification --synonyms-- approval; authorization; confirmation;
tail --synonyms-- rear; back end; rudder;
province --synonyms-- colony; county; department;
getaway --synonyms-- break; breakout; decampment;
infantry --synonyms-- infantrymen; doughboys; grunts;
demented --synonyms-- deranged; hysterical; mad;
projection --synonyms-- bump; bunch; eaves;
chisel --synonyms-- blade; knife; adze;
justification --synonyms-- apology; approval; argument;
paltry --synonyms-- insignificant; meager; measly;
retainer --synonyms-- adherents; appliance; attendant;
impish --synonyms-- devilish; jaunty; naughty;
peculiarity --synonyms-- distinctiveness; eccentricity; foible;
postal --synonyms-- NO SYNONYMS;
lottery --synonyms-- gambling; raffle; sweepstake;
crossing --synonyms-- bridge; crossroad; intersection;
sly --synonyms-- canny; impish; ingenious;
epidemic --synonyms-- contagious; endemic; infectious;
fiery --synonyms-- blazing; burning; combustible;
dispose --synonyms-- adapt; incline; predispose;
dwarf --synonyms-- miniature; mini; baby;
combat --synonyms-- action; conflict; contest;
accidentally --synonyms-- unintentionally; unwittingly; by mistake;
disturb --synonyms-- agitate; alarm; amaze;
june --synonyms-- NO SYNONYMS;
guitar --synonyms-- NO SYNONYMS;
barbecue --synonyms-- cookout; picnic; bake;
physics --synonyms-- biology; chemistry; life sciences;
consent --synonyms-- acquiescence; approval; assent;
into --synonyms-- in the direction of; toward; within;
remember --synonyms-- commemorate; get; learn;
contract --synonyms-- arrangement; bargain; bond;
particular --synonyms-- appropriate; distinct; peculiar;
they --synonyms-- we; you; he;
set --synonyms-- agreed; appointed; arranged;
hear --synonyms-- attend; get; listen;
she --synonyms-- I; you; he;
seed --synonyms-- berry; corn; egg;
in --synonyms-- chic; chichi; contemporary;
interference --synonyms-- conflict; intervention; intrusion;
odious --synonyms-- abhorrent; abominable; disgusting;
language --synonyms-- accent; dialect; expression;
minimize --synonyms-- curtail; decrease; diminish;
excel --synonyms-- come through; outdo; shine;
sulphur --synonyms-- NO SYNONYMS;
easter --synonyms-- NO SYNONYMS;
muffle --synonyms-- dampen; deaden; envelop;
glitter --synonyms-- glamour; glitz; luster;
phantom --synonyms-- hallucination; apparition; chimera;
panel --synonyms-- board; bureau; cabinet;
heather --synonyms-- drab; dusty; grey;
reconnaissance --synonyms-- exploration; surveillance; investigation;
downward --synonyms-- descending; downwards; down;
prosecutor --synonyms-- informer; rat; tattletale;
dispense --synonyms-- allocate; allot; disburse;
drill --synonyms-- assignment; conditioning; discipline;
sob --synonyms-- bawl; break down; howl;
outspoken --synonyms-- blunt; candid; forthright;
effortless --synonyms-- offhand; painless; uncomplicated;
effortless --synonyms-- offhand; painless; uncomplicated;
confide --synonyms-- admit; confess; disclose;
internal --synonyms-- constitutional; domestic; in-house;
promote --synonyms-- advance; advertise; advocate;
secretary --synonyms-- assistant; clerk; executive secretary;
queen --synonyms-- monarch; ruler; consort;
bracket --synonyms-- brace; cantilever; girder;
security --synonyms-- bond; care; freedom;
upper --synonyms-- uppermost; high; overhead;
history --synonyms-- past; antiquity; yesterday;
bilateral --synonyms-- mutual; reciprocal; respective;
recycling --synonyms-- improvement; recovery; redemption;
sentence --synonyms-- censure; decision; edict;
house --synonyms-- apartment; box; building;
errand --synonyms-- assignment; charge; commission;
rectify --synonyms-- amend; fix; improve;
coronation --synonyms-- crowning; inauguration; investiture;
thorn --synonyms-- barb; bramble; brier;
wistful --synonyms-- contemplative; dreamy; forlorn;
contraceptive --synonyms-- condom; diaphragm; hormone;
cove --synonyms-- anchorage; arm; bay;
supersede --synonyms-- annul; overrule; repudiate;
peal --synonyms-- blast; carillon; clamor;
cheaper --synonyms-- low-cost; reasonable; low-priced;
announcing --synonyms-- citing; copying; naming;
condiment --synonyms-- dressing; horseradish; gravy;
heater --synonyms-- boiler; fastball; furnace;
alcove --synonyms-- compartment; cubicle; anteroom;
abdicate --synonyms-- forgo; relinquish; renounce;
seclude --synonyms-- cloister; ostracize; sequester;
memorable --synonyms-- catchy; decisive; enduring;
ostentatious --synonyms-- classy; conspicuous; extravagant;
wisely --synonyms-- carefully; intelligently; judiciously;
antagonize --synonyms-- alienate; anger; annoy;
seduce --synonyms-- beguile; betray; deceive;
stereo --synonyms-- audio system; radio; sound system;
consequence --synonyms-- aftereffect; aftermath; effect;
polish --synonyms-- brilliance; burnish; finish;
pants --synonyms-- knickers; shorts; slacks;
sir --synonyms-- king; knight; lord;
headquarter --synonyms-- command post; main office; nerve center;
unemployed --synonyms-- idle; inactive; jobless;
some --synonyms-- a few; any; a bit;
god --synonyms-- Allah; the Almighty; the Creator;
excruciation --synonyms-- affliction; agony; anguish;
issue --synonyms-- affair; argument; concern;
mourning --synonyms-- grief; aching; bereavement;
substance --synonyms-- item; material; object;
sum --synonyms-- amount; bulk; quantity;
commonplace --synonyms-- customary; mundane; normal;
prophecy --synonyms-- apocalypse; prognostication; revelation;
rebuild --synonyms-- build; build up; fix;
perpetual --synonyms-- ceaseless; constant; continued;
diploma --synonyms-- credentials; degree; recognition;
ingoing --synonyms-- acerbic; barbed; biting;
ravage --synonyms-- consume; damage; demolish;
steward --synonyms-- administrator; agent; chamberlain;
nickel --synonyms-- anodize; bronze; chrome;
finnish --synonyms-- NO SYNONYMS;
attendance --synonyms-- appearance; participation; presence;
biopsy --synonyms-- autopsy; inquiry; observation;
decadence --synonyms-- corruption; debasement; decay;
confine --synonyms-- constrain; detain; hinder;
brake --synonyms-- damper; restraint; anchor;
disfigure --synonyms-- deform; distort; maim;
farmer --synonyms-- grower; laborer; peasant;
hurricane --synonyms-- cyclone; gale; monsoon;
widen --synonyms-- add to; broaden; enlarge;
far-fetched --synonyms-- bizarre; doubtful; dubious;
abjection --synonyms-- abasement; blahs; bleakness;
dishonour --synonyms-- NO SYNONYMS;
enforce --synonyms-- accomplish; administer; apply;
missile --synonyms-- ammunition; bomb; bullet;
deduct --synonyms-- reduce; subtract; withdraw;
dealer --synonyms-- banker; merchant; retailer;
rinse --synonyms-- bathe; clean; dip;
skilful --synonyms-- NO SYNONYMS;
perspective --synonyms-- angle; aspect; attitude;
blush --synonyms-- bloom; blossom; burning;
deck --synonyms-- adorn; beautify; bedeck;
restrict --synonyms-- curb; decrease; define;
sock --synonyms-- belt; beat; bop;
promotion --synonyms-- advance; advancement; advocacy;
poll --synonyms-- ballot; count; opinion;
rob --synonyms-- bereave; break into; cheat;
angry --synonyms-- annoyed; bitter; enraged;
casket --synonyms-- bin; carton; case;
angle --synonyms-- corner; edge; intersection;
sink --synonyms-- capsize; decline; descend;
package --synonyms-- bundle; bag; bottle;
to --synonyms-- directed toward; facing; into;
meantime --synonyms-- interim; interregnum; interruption;
occur --synonyms-- appear; arise; crop up;
state --synonyms-- case; accompaniment; attitude;
caress --synonyms-- cuddle; embrace; endearment;
creche --synonyms-- child care; daycare; nursery;
seaman --synonyms-- mariner; beachcomber; gob;
haven --synonyms-- asylum; retreat; sanctuary;
ignoble --synonyms-- abject; base; baseborn;
subdue --synonyms-- conquer; crush; extinguish;
penetrate --synonyms-- crack; drill; enter;
plod --synonyms-- lumber; slog; tramp;
righty --synonyms-- NO SYNONYMS;
digestive --synonyms-- NO SYNONYMS;
midland --synonyms-- back-country; backland; boondocks;
freed --synonyms-- discharged; released; free;
cavity --synonyms-- crater; armpit; atrium;
capable --synonyms-- NO SYNONYMS;
enigma --synonyms-- conundrum; puzzle; bewilderment;
multi --synonyms-- NO SYNONYMS;
dolphin --synonyms-- beluga; grampus; mammal;
precaution --synonyms-- care; caution; insurance;
skiing --synonyms-- NO SYNONYMS;
rivet --synonyms-- fastener; latch; pipe;
blade --synonyms-- knife; sword; brand;
located --synonyms-- based; placed; occupying;
attend --synonyms-- show up; visit; appear;
cashier --synonyms-- accountant; clerk; teller;
puzzle --synonyms-- amaze; befuddle; bemuse;
picnic --synonyms-- barbecue; cookout; excursion;
reasonably --synonyms-- fairly; honestly; intelligently;
differently --synonyms-- individually; negatively; separately;
temper --synonyms-- attitude; climate; disposition;
whatsoever --synonyms-- any; everything; any;
resist --synonyms-- abide; combat; confront;
vital --synonyms-- basic; critical; crucial;
simply --synonyms-- commonly; directly; easily;
forceless --synonyms-- helpless; inadequate; incapable;
dowry --synonyms-- NO SYNONYMS;
thus --synonyms-- so; hence; thusly;
million --synonyms-- bank; lot; much;
handyman --synonyms-- helper; hired man; man-of-all-work;
synonym --synonyms-- equivalent; metonym; antonym;
weird --synonyms-- awful; creepy; curious;
dormitory --synonyms-- bedroom; dorm; dorm room;
tall --synonyms-- big; great; lanky;
magically --synonyms-- unusually; wondrously; magically;
indigestion --synonyms-- heartburn; nausea; acidosis;
admissible --synonyms-- allowed; justifiable; permissible;
scenario --synonyms-- plot; scheme; book;
goggle --synonyms-- admire; beam; bore;
claw --synonyms-- fingernail; paw; tentacle;
imposter --synonyms-- con artist; cheat; con;
dresser --synonyms-- closet; wardrobe; bureau;
appreciation --synonyms-- acknowledgment; gratitude; recognition;
unauthorized --synonyms-- illegal; illegitimate; pirated;
tournament --synonyms-- contest; event; fight;
teenager --synonyms-- juvenile; minor; youngster;
indisputable --synonyms-- absolute; evident; irrefutable;
eminence --synonyms-- greatness; prestige; prominence;
commandment --synonyms-- edict; precept; mitzvah;
memorial --synonyms-- remembering; celebrative; commemoratory;
porch --synonyms-- balcony; deck; portico;
defeated --synonyms-- conquered; crushed; overcome;
concede --synonyms-- accept; admit; allow;
jazz --synonyms-- bebop; blues; boogie;
fragility --synonyms-- frailty; brittleness; delicacy;
third --synonyms-- tertiary; triennial; tertian;
mobile phone --synonyms-- car phone; cell phone; cell telephone;
lover --synonyms-- admirer; boyfriend; companion;
characterize --synonyms-- define; describe; identify;
chinese --synonyms-- NO SYNONYMS;
besiege --synonyms-- beleaguer; beset; blockade;
chemist --synonyms-- analyst; expert; physicist;
psychiatric --synonyms-- deranged; disturbed; fruity;
self-control --synonyms-- dignity; discretion; poise;
cessation --synonyms-- abeyance; arrest; break;
goodbye --synonyms-- adieu; bye-bye; adios;
borough --synonyms-- district; precinct; community;
spirits --synonyms-- disposition; feeling; mood;
mammal --synonyms-- beast; creature; vertebrate;
identical --synonyms-- exact; indistinguishable; interchangeable;
invitation --synonyms-- appeal; bid; challenge;
unknown --synonyms-- anonymous; exotic; foreign;
parade --synonyms-- ceremony; demonstration; procession;
poetry --synonyms-- verse; doggerel; paean;
action --synonyms-- activity; deal; force;
bay --synonyms-- anchorage; arm; basin;
serenity --synonyms-- calmness; composure; patience;
bed --synonyms-- bunk; cot; couch;
abyss --synonyms-- chasm; crevasse; depth;
perplex --synonyms-- astonish; astound; baffle;
ponder --synonyms-- consider; contemplate; deliberate;
asunder --synonyms-- disconnected; disjoined; divided;
tight --synonyms-- compact; cramped; fast;
accolade --synonyms-- distinction; kudos; approval;
birch --synonyms-- nightstick; truncheon; bastinado;
above-average --synonyms-- NO SYNONYMS;
thousand --synonyms-- millenarian; millenary; chiliadal;
sill --synonyms-- girder; joist; piling;
introducing --synonyms-- suggest; offer; propose;
carnivorous --synonyms-- flesh-eating; omnivorous; predatory;
discretion --synonyms-- attention; foresight; maturity;
indefinite --synonyms-- infinite; undefined; undetermined;
immovable --synonyms-- immobile; immutable; impassive;
e-book --synonyms-- book recording; book recording; e-book;
given --synonyms-- accustomed; addicted; disposed;
hinge --synonyms-- articulation; axis; butt;
pastime --synonyms-- amusement; diversion; fun;
environment --synonyms-- climate; habitat; mise en scène;
brass --synonyms-- assumption; audacity; brashness;
obscenity --synonyms-- four-letter word; indecency; pornography;
companion --synonyms-- accomplice; aide; ally;
bench --synonyms-- chair; seat; bank;
temporary --synonyms-- brief; interim; limited;
series --synonyms-- array; course; list;
grave --synonyms-- dignified; dull; earnest;
soap --synonyms-- detergent; castile; lather;
warn --synonyms-- address; advise; alert;
bug --synonyms-- disease; germ; infection;
comfortable --synonyms-- appropriate; complacent; convenient;
curious --synonyms-- inquisitive; interested; analytical;
citizen --synonyms-- inhabitant; national; resident;
criminal --synonyms-- corrupt; deplorable; illegal;
dad --synonyms-- old man; papa; parent;
payroll --synonyms-- amount; budget; charge;
problem --synonyms-- complication; dilemma; dispute;
optimistic --synonyms-- assured; bright; buoyant;
return --synonyms-- arrival; entry; rebound;
frosty --synonyms-- chilly; frigid; glacial;
pad --synonyms-- notebook; notepad; paper;
block --synonyms-- bar; brick; chunk;
air --synonyms-- atmosphere; breeze; wind;
produce --synonyms-- crop; goods; production;
diligence --synonyms-- alertness; earnestness; intensity;
perfection --synonyms-- accomplishment; evolution; excellence;
encode --synonyms-- cipher; conceal; cryptograph;
misuse --synonyms-- corruption; exploitation; harm;
addict --synonyms-- buff; devotee; enthusiast;
dane --synonyms-- NO SYNONYMS;
valid --synonyms-- accurate; authentic; binding;
defer --synonyms-- adjourn; delay; extend;
detain --synonyms-- apprehend; confine; delay;
interrogate --synonyms-- examine; grill; investigate;
knitting --synonyms-- crocheting; darning; embroidery;
pastel --synonyms-- delicate; light; pale;
heirloom --synonyms-- antique; bequest; birthright;
emulate --synonyms-- follow suit; imitate; mimic;
feat --synonyms-- accomplishment; adventure; deed;
stupendous --synonyms-- astonishing; astounding; breathtaking;
discord --synonyms-- disharmony; dissonance; tumult;
psychic --synonyms-- mental; metaphysical; psychological;
skyscraper --synonyms-- high-rise; superstructure; tower;
jar --synonyms-- basin; bottle; can;
maximum --synonyms-- best; maximal; outside;
illegitimate --synonyms-- illegal; illicit; improper;
scam --synonyms-- blackmail; deceit; deception;
excitement --synonyms-- adventure; buzz; commotion;
clumsy --synonyms-- bulky; heavy-handed; inept;
exceed --synonyms-- eclipse; outpace; outstrip;
profession --synonyms-- art; business; career;
competition --synonyms-- championship; clash; event;
model --synonyms-- exemplary; miniature; classic;
relationship --synonyms-- accord; affair; communication;
numeral --synonyms-- character; cipher; digit;
fiance --synonyms-- affianced; affianced person; betrothed;
slim --synonyms-- diet; reduce; slenderize;
seven --synonyms-- septenary; septemviral; septennial;
ulcer --synonyms-- abscess; lesion; boil;
powerless --synonyms-- defenseless; disenfranchised; helpless;
strange --synonyms-- astonishing; bizarre; curious;
earnings --synonyms-- bottom line; gain; income;
revolt --synonyms-- defection; insurgency; insurrection;
as --synonyms-- at the time that; during the time that; in the act of;
fade --synonyms-- dim; disappear; dissolve;
crossroad --synonyms-- intersection; byroad; climax;
grace --synonyms-- agility; beauty; decency;
translate --synonyms-- convert; decipher; put;
stoop --synonyms-- droop; sag; slouch;
hiss --synonyms-- catcall; hoot; boo;
welcoming --synonyms-- accessible; attainable; come-at-able;
broadsheet --synonyms-- NO SYNONYMS;
reticence --synonyms-- hesitation; shyness; closeness;
edifice --synonyms-- monument; skyscraper; building;
penitentiary --synonyms-- lockup; prison; campus;
sweaty --synonyms-- moist; sticky; stinky;
hazy --synonyms-- blurred; blurry; clouded;
fidget --synonyms-- fret; jiggle; squirm;
incite --synonyms-- abet; agitate; arouse;
gluttony --synonyms-- craving; demand; fondness;
lens --synonyms-- glass; contact; meniscus;
installation --synonyms-- accession; coronation; fitting;
medium --synonyms-- intermediate; common; commonplace;
visa --synonyms-- acceptance; admission; affirmation;
embody --synonyms-- demonstrate; epitomize; exemplify;
airplane --synonyms-- aircraft; airliner; cab;
ineptitude --synonyms-- awkwardness; inability; incompetence;
hopefully --synonyms-- confidently; surely; expectantly;
herald --synonyms-- adviser; bearer; courier;
dispel --synonyms-- allay; chase away; dismiss;
dancer --synonyms-- ballet dancer; danseur; danseuse;
destroy --synonyms-- consume; crush; damage;
spoil --synonyms-- destroy; devastate; harm;
disrespect --synonyms-- contempt; boldness; coarseness;
quickly --synonyms-- expeditiously; hastily; hurriedly;
cost --synonyms-- amount; charge; damage;
intrude --synonyms-- encroach; infringe; interfere;
adamant --synonyms-- determined; insistent; intransigent;
steam --synonyms-- beef; force; might;
friendship --synonyms-- accord; affection; agreement;
serve --synonyms-- deliver; distribute; give;
cheering --synonyms-- comforting; heartening; hopeful;
tortoise --synonyms-- chelonian; cooter; leatherback;
gauntlet --synonyms-- armor; challenge; glove;
secretive --synonyms-- covert; enigmatic; reticent;
unhealthy --synonyms-- delicate; unsound; ailing;
manifest --synonyms-- glaring; palpable; unambiguous;
impertinent --synonyms-- arrogant; brash; brassy;
retrieval --synonyms-- betterment; comeback; convalescence;
partially --synonyms-- moderately; partly; somewhat;
crummy --synonyms-- miserable; rotten; second-rate;
reap --synonyms-- bring in; derive; gain;
rectification --synonyms-- amends; atonement; compensation;
rake --synonyms-- comb; scour; scrape;
twenties --synonyms-- NO SYNONYMS;
spot --synonyms-- atom; blemish; blot;
chateau --synonyms-- castle; estate; manor;
ultimatum --synonyms-- warning; conditions; demand;
grammar --synonyms-- alphabet; syntax; ABCs;
transmitter --synonyms-- NO SYNONYMS;
infrastructure --synonyms-- base; framework; footing;
tuna --synonyms-- NO SYNONYMS;
clutch --synonyms-- clamp; clasp; clench;
supple --synonyms-- agile; elastic; flexible;
burns --synonyms-- blaze; char; heat;
underestimate --synonyms-- belittle; miscalculate; underrate;
religion --synonyms-- church; creed; cult;
deposit --synonyms-- security; drop; installment;
entirely --synonyms-- absolutely; alone; altogether;
pronounce --synonyms-- speak; utter; accent;
sole --synonyms-- exclusive; lone; one and only;
include --synonyms-- add; build; carry;
her --synonyms-- me; you; him;
leave --synonyms-- allowance; authorization; assent;
assembly --synonyms-- accumulation; aggregation; assemblage;
melancholy --synonyms-- gloomy; grim; mournful;
disco --synonyms-- dance hall; nightclub; nightspot;
competence --synonyms-- appropriateness; capability; capacity;
stay --synonyms-- holiday; sojourn; stopover;
amplitude --synonyms-- breadth; extent; magnitude;
crochet --synonyms-- brocade; decoration; lace;
slander --synonyms-- defamation; disparagement; libel;
alleviate --synonyms-- allay; assuage; ease;
hailstone --synonyms-- chunk; crystal; diamonds;
refusal --synonyms-- ban; defiance; exclusion;
regrettable --synonyms-- calamitous; deplorable; dire;
propel --synonyms-- drive; push; send;
disreputable --synonyms-- contemptible; despicable; shady;
